FecName,Protocol,FecNetwork,FecNode,IPaddr,Description,Location,Hardware,Responsible
ENS#0,3,0,0,131.169.120.41,Equip. Name Server,Bldg 30a 1st Floor,Watchdog,P.Duval
ENS#1,3,0,0,131.169.120.46,Equip. Name Server,Bldg 30a 1st Floor,Watchdog,P.Duval
